EmpNo,Attrition,JobRole,Department,DistanceFromHome,Education,EducationField,Age,Gender,YearsAtCompany,YearsInCurrentRole,Years Since Last Promotion,Years CurrManager,Monthly Income,EnvironmentSatisfaction,JobLevel,Job Satisfaction,Marital Status,Num Companies Worked,Over Time,Performance Rating,Relationship Satisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,,,,,,,,
483,No,Laboratory Technician,Research & Development,10,Master's,Life Sciences,40,Female,7,7,1,7,2213,4,1,3,Married,3,Yes,3,3,1,10,3,3,,,,,,,,
484,No,Sales Representative,Sales,9,Some university,Medical,21,Male,3,2,2,2,2610,1,1,4,Single,1,No,4,3,0,3,3,2,1,,,,,,,
485,Yes,Sales Representative,Sales,5,Bachelor's,Marketing,33,Female,1,0,0,0,2851,4,1,3,Single,1,Yes,3,2,0,1,2,3,,,,,,,,
486,No,Laboratory Technician,Research & Development,10,Bachelor's,Medical,37,Female,5,4,0,3,3452,3,1,1,Married,6,No,4,2,1,17,3,3,1,,,,,,,
487,No,Manufacturing Director,Research & Development,7,Master's,Medical,46,Female,1,0,0,0,5258,3,2,3,Married,2,No,3,3,0,7,2,4,,,,,,,,
488,Yes,Sales Executive,Sales,4,Bachelor's,Marketing,41,Male,8,7,7,7,9355,1,2,2,Single,1,No,3,3,0,8,5,3,,,,,,,,
491,No,Healthcare Representative,Research & Development,10,Bachelor's,Technical Degree,50,Male,4,3,1,3,10496,4,3,4,Single,6,No,3,4,0,20,2,3,,,,,,,,
492,Yes,Sales Executive,Sales,22,Some university,Marketing,40,Male,6,4,1,0,6380,3,2,3,Married,2,Yes,3,1,2,8,6,3,,,,,,,,
493,No,Research Scientist,Research & Development,9,Master's,Life Sciences,31,Male,2,2,2,2,2657,3,1,2,Single,0,Yes,3,4,0,3,5,3,,,,,,,,
494,Yes,Sales Representative,Sales,12,Bachelor's,Life Sciences,21,Female,1,0,0,0,2716,3,1,2,Single,1,No,3,4,0,1,0,3,,,,,,,,
495,No,Research Scientist,Research & Development,23,Bachelor's,Life Sciences,29,Male,3,2,1,2,2201,4,1,4,Single,9,No,3,4,0,6,4,3,,,,,,,,
496,No,Healthcare Representative,Research & Development,9,Master's,Life Sciences,35,Male,1,1,0,0,6540,3,2,2,Single,9,No,3,3,0,10,5,3,,,,,,,,
497,No,Laboratory Technician,Research & Development,1,Some university,Medical,27,Male,5,2,0,4,3816,4,1,2,Divorced,1,No,3,2,1,5,2,3,,,,,,,,
498,No,Sales Executive,Sales,9,Master's,Life Sciences,28,Male,7,5,0,7,5253,2,2,4,Single,1,No,3,4,0,7,1,3,,,,,,,,
499,No,Healthcare Representative,Research & Development,7,Bachelor's,Other,49,Male,5,2,0,0,10965,2,3,3,Single,8,No,4,3,0,26,2,3,1,,,,,,,
500,No,Sales Executive,Sales,14,Some university,Life Sciences,51,Female,7,7,0,7,4936,3,2,4,Married,4,No,3,3,1,18,2,2,,,,,,,,
501,No,Research Scientist,Research & Development,2,Bachelor's,Life Sciences,36,Female,2,2,2,2,2543,4,1,3,Married,4,No,3,2,1,6,3,3,,,,,,,,
502,Yes,Sales Executive,Sales,19,Bachelor's,Marketing,34,Male,5,2,0,4,5304,1,2,4,Single,8,Yes,3,2,0,9,3,2,,,,,,,,
505,No,Manager,Research & Development,2,Bachelor's,Life Sciences,55,Female,5,4,1,2,16659,3,4,4,Single,2,Yes,3,3,0,30,2,3,,,,,,,,
507,No,Sales Executive,Sales,10,Master's,Marketing,24,Female,5,2,0,3,4260,4,2,3,Divorced,1,Yes,3,4,1,5,2,4,,,,,,,,
508,No,Sales Representative,Sales,2,High school or below,Technical Degree,30,Male,1,0,0,0,2476,3,1,2,Married,1,No,3,1,1,1,3,3,,,,,,,,
510,Yes,Research Scientist,Research & Development,3,High school or below,Technical Degree,26,Male,6,4,0,4,3102,3,1,1,Single,0,No,4,3,0,7,2,3,1,,,,,,,
511,No,Research Scientist,Research & Development,11,Bachelor's,Medical,22,Female,2,1,1,2,2244,1,1,2,Married,1,No,3,4,1,2,1,3,,,,,,,,
513,No,Sales Executive,Sales,2,Some university,Medical,36,Male,10,9,9,0,7596,2,3,3,Married,1,No,3,2,2,10,2,3,,,,,,,,
514,Yes,Research Scientist,Research & Development,4,Bachelor's,Technical Degree,30,Male,1,0,0,0,2285,3,1,4,Single,9,Yes,4,3,0,3,4,3,1,,,,,,,
515,No,Laboratory Technician,Research & Development,14,Bachelor's,Life Sciences,37,Female,18,7,12,17,3034,4,1,1,Divorced,1,No,3,3,1,18,2,2,,,,,,,,
516,No,Sales Executive,Sales,2,Some university,Marketing,40,Female,5,4,1,3,5715,4,2,2,Divorced,7,No,3,3,2,8,5,3,,,,,,,,
517,No,Laboratory Technician,Research & Development,1,Master's,Life Sciences,42,Female,5,2,1,2,2576,2,1,1,Divorced,3,No,3,2,1,8,5,3,,,,,,,,
518,No,Manufacturing Director,Research & Development,10,Master's,Life Sciences,37,Male,1,0,0,1,4197,3,2,2,Single,2,Yes,3,4,0,18,2,2,,,,,,,,
520,No,Research Director,Research & Development,12,Bachelor's,Life Sciences,43,Male,25,10,3,9,14336,1,4,2,Divorced,1,No,3,3,1,25,3,3,,,,,,,,
521,No,Laboratory Technician,Research & Development,2,Bachelor's,Medical,40,Female,1,0,0,0,3448,2,2,3,Married,6,No,4,2,1,20,3,3,1,,,,,,,
522,No,Research Director,Research & Development,5,Some university,Medical,54,Male,4,2,1,2,19406,1,5,1,Married,4,No,3,3,1,24,4,2,,,,,,,,
523,No,Sales Executive,Sales,4,Master's,Marketing,34,Female,3,2,1,2,6538,3,2,3,Married,9,No,3,1,1,6,3,3,,,,,,,,
524,No,Manufacturing Director,Research & Development,7,Some university,Medical,31,Female,13,10,3,12,4306,2,2,1,Married,1,No,3,2,1,13,5,1,,,,,,,,
525,No,Laboratory Technician,Research & Development,21,Bachelor's,Medical,43,Male,3,2,1,2,2258,4,1,4,Married,7,No,4,1,1,8,1,3,1,,,,,,,
526,No,Healthcare Representative,Research & Development,8,Master's,Other,43,Female,5,2,0,2,4522,3,2,3,Divorced,4,Yes,3,4,0,8,3,3,,,,,,,,
527,No,Sales Executive,Sales,4,Some university,Life Sciences,25,Female,5,4,1,3,4487,2,2,4,Single,1,Yes,3,2,0,5,3,3,,,,,,,,
529,No,Research Scientist,Research & Development,25,Doctorate,Medical,37,Female,13,11,10,7,4449,2,2,3,Married,3,Yes,3,1,2,15,2,3,,,,,,,,
530,No,Laboratory Technician,Research & Development,1,Some university,Life Sciences,31,Male,4,2,3,2,2218,4,1,1,Married,1,No,3,3,1,4,3,3,,,,,,,,
531,No,Manager,Research & Development,1,High school or below,Life Sciences,39,Male,21,8,1,6,19197,2,5,3,Divorced,1,Yes,3,3,1,21,3,3,,,,,,,,
532,No,Sales Executive,Sales,6,Bachelor's,Life Sciences,56,Female,7,7,7,7,13212,3,4,1,Married,9,No,3,4,3,36,0,2,,,,,,,,
533,No,Sales Executive,Sales,12,Bachelor's,Technical Degree,30,Female,5,4,4,4,6577,2,2,3,Single,0,No,3,2,0,6,6,3,,,,,,,,
534,No,Sales Executive,Sales,1,Bachelor's,Marketing,41,Male,10,7,0,7,8392,2,3,1,Married,1,No,3,3,1,10,2,3,,,,,,,,
536,No,Laboratory Technician,Research & Development,17,Some university,Medical,28,Male,10,0,1,8,4558,3,2,1,Divorced,1,No,3,4,1,10,2,3,,,,,,,,
538,Yes,Laboratory Technician,Research & Development,3,Bachelor's,Medical,25,Male,2,2,0,2,4031,1,1,1,Married,5,No,3,3,1,6,5,3,,,,,,,,
543,No,Manufacturing Director,Research & Development,3,Bachelor's,Medical,52,Male,5,4,0,4,7969,4,3,3,Married,2,Yes,3,3,0,28,4,3,,,,,,,,
544,No,Research Scientist,Research & Development,10,Some university,Life Sciences,45,Male,2,2,0,2,2654,1,1,4,Married,3,No,4,4,2,8,3,2,1,,,,,,,
546,No,Manager,Research & Development,4,Some university,Life Sciences,52,Female,5,2,1,4,16555,4,4,4,Married,2,No,3,4,0,31,2,1,,,,,,,,
547,No,Research Scientist,Research & Development,29,Some university,Life Sciences,42,Female,5,4,0,2,4556,1,2,3,Divorced,2,No,3,2,1,19,3,3,,,,,,,,
548,No,Manufacturing Director,Research & Development,2,Bachelor's,Life Sciences,30,Female,5,4,0,2,6091,3,2,4,Single,2,No,4,3,0,11,2,3,1,,,,,,,
549,No,Manager,Research & Development,7,Bachelor's,Life Sciences,60,Female,29,8,11,10,19566,1,5,1,Married,5,No,3,4,0,33,5,1,,,,,,,,
550,No,Manufacturing Director,Research & Development,18,Bachelor's,Medical,46,Female,10,7,0,8,4810,3,2,3,Divorced,2,No,3,3,1,19,5,2,,,,,,,,
551,No,Healthcare Representative,Research & Development,28,Master's,Technical Degree,42,Female,6,5,0,4,4523,4,2,4,Married,0,No,3,4,3,7,4,4,,,,,,,,
554,Yes,Sales Representative,Sales,1,High school or below,Technical Degree,24,Female,5,3,1,4,3202,1,1,2,Single,1,Yes,3,2,0,6,4,3,,,,,,,,
555,Yes,Sales Representative,Sales,6,Some university,Marketing,34,Female,2,2,1,0,2351,4,1,3,Divorced,0,No,3,4,1,3,3,2,,,,,,,,
556,No,Laboratory Technician,Research & Development,2,Some university,Life Sciences,38,Male,1,0,0,0,1702,4,1,4,Married,1,Yes,4,3,1,1,3,3,1,,,,,,,
558,No,Manager,Sales,2,Master's,Life Sciences,40,Female,20,15,1,12,18041,3,5,3,Married,0,No,3,4,0,21,2,3,,,,,,,,
560,No,Research Scientist,Research & Development,23,Bachelor's,Life Sciences,26,Female,3,2,0,2,2886,1,1,4,Divorced,1,No,4,2,2,3,3,1,1,,,,,,,
562,No,Laboratory Technician,Research & Development,3,Bachelor's,Life Sciences,30,Male,5,3,1,4,2097,3,1,4,Married,4,No,3,3,1,9,3,1,,,,,,,,
564,No,Research Director,Research & Development,3,Master's,Medical,29,Male,10,2,0,7,11935,2,3,3,Married,1,No,3,3,0,10,2,3,,,,,,,,
565,Yes,Research Scientist,Research & Development,25,Doctorate,Technical Degree,29,Female,2,2,1,1,2546,3,1,2,Married,5,No,3,2,0,6,2,4,,,,,,,,
566,Yes,Human Resources,Human Resources,2,Some university,Technical Degree,19,Male,1,0,0,0,2564,1,1,4,Single,1,No,3,3,0,1,3,4,,,,,,,,
567,No,Sales Executive,Sales,22,Master's,Other,30,Female,9,8,7,8,8412,3,3,1,Married,0,No,3,3,0,10,3,3,,,,,,,,
568,No,Manager,Sales,29,Bachelor's,Marketing,57,Male,1,0,0,0,14118,1,4,4,Divorced,3,No,3,3,1,32,3,2,,,,,,,,
569,No,Manager,Research & Development,29,Master's,Life Sciences,50,Male,27,10,15,7,17046,2,4,3,Married,0,No,3,2,1,28,2,3,,,,,,,,
571,No,Laboratory Technician,Research & Development,2,Bachelor's,Medical,30,Female,11,7,6,7,2564,3,1,4,Single,0,No,3,3,0,12,2,2,,,,,,,,
573,No,Sales Executive,Sales,28,Bachelor's,Marketing,60,Female,18,13,13,11,10266,3,3,1,Married,4,No,3,4,0,22,5,4,,,,,,,,
574,No,Manufacturing Director,Research & Development,2,Some university,Medical,47,Female,5,0,0,4,5070,1,2,4,Divorced,5,No,3,3,3,20,2,3,,,,,,,,
575,No,Research Director,Research & Development,2,Bachelor's,Life Sciences,46,Male,3,2,0,1,17861,1,4,3,Married,6,No,3,3,0,26,2,1,,,,,,,,
577,No,Laboratory Technician,Research & Development,22,Bachelor's,Life Sciences,35,Male,5,4,4,3,4230,4,1,3,Single,0,No,3,3,0,6,2,3,,,,,,,,
578,No,Laboratory Technician,Research & Development,8,Master's,Life Sciences,54,Female,1,0,0,0,3780,3,2,3,Single,7,No,3,3,0,19,3,3,,,,,,,,
579,No,Research Scientist,Research & Development,2,Master's,Life Sciences,34,Male,7,3,5,7,2768,4,1,3,Divorced,3,No,3,3,1,14,3,3,,,,,,,,
580,No,Sales Executive,Sales,10,Bachelor's,Marketing,46,Female,3,2,1,2,9071,3,3,4,Married,2,Yes,3,3,1,15,3,3,,,,,,,,
581,No,Manufacturing Director,Research & Development,9,High school or below,Life Sciences,31,Male,13,8,0,8,10648,3,3,2,Divorced,1,No,4,4,1,13,6,4,1,,,,,,,
582,Yes,Manager,Research & Development,15,High school or below,Medical,33,Male,7,6,7,7,13610,2,3,3,Married,7,Yes,3,4,0,15,2,4,,,,,,,,
584,Yes,Laboratory Technician,Research & Development,10,High school or below,Medical,33,Male,4,3,1,3,3408,1,1,4,Divorced,7,No,3,1,3,8,2,3,,,,,,,,
585,No,Sales Representative,Sales,7,High school or below,Marketing,30,Male,3,2,1,2,2983,4,1,2,Single,0,No,3,1,0,4,3,3,,,,,,,,
586,No,Healthcare Representative,Research & Development,16,Bachelor's,Life Sciences,35,Male,8,7,0,0,7632,4,3,3,Married,4,Yes,3,3,0,10,2,3,,,,,,,,
587,Yes,Healthcare Representative,Research & Development,20,Bachelor's,Life Sciences,31,Male,1,0,0,0,9824,1,3,3,Married,3,No,3,1,0,12,2,3,,,,,,,,
590,Yes,Human Resources,Human Resources,23,Bachelor's,Human Resources,34,Female,3,2,0,2,9950,2,3,1,Divorced,9,Yes,3,3,3,11,2,3,,,,,,,,
591,No,Laboratory Technician,Research & Development,5,Some university,Other,42,Male,2,2,2,0,2093,2,1,3,Married,4,No,3,4,1,8,4,3,,,,,,,,
592,No,Sales Executive,Sales,10,Master's,Medical,36,Male,10,3,9,7,9980,2,3,4,Single,1,No,3,4,0,10,3,2,,,,,,,,
593,Yes,Laboratory Technician,Research & Development,4,High school or below,Technical Degree,22,Male,2,2,1,2,3894,3,1,3,Single,5,No,3,3,0,4,3,3,,,,,,,,
595,No,Sales Executive,Sales,2,Doctorate,Marketing,48,Female,9,7,6,7,4051,2,2,4,Married,2,No,3,1,1,14,2,3,,,,,,,,
597,No,Manager,Sales,18,Doctorate,Life Sciences,55,Female,10,9,7,7,16835,1,4,2,Single,3,No,4,4,0,37,2,3,1,,,,,,,
599,No,Sales Executive,Sales,10,Some university,Life Sciences,41,Male,14,3,1,10,6230,4,2,4,Single,7,No,3,4,0,16,3,3,,,,,,,,
600,No,Sales Executive,Sales,1,Bachelor's,Marketing,35,Male,11,9,6,9,4717,2,2,3,Married,9,No,3,3,0,15,2,3,,,,,,,,
601,No,Manufacturing Director,Research & Development,6,Bachelor's,Life Sciences,40,Female,20,6,5,13,13237,2,4,3,Single,7,No,3,3,0,22,3,3,,,,,,,,
602,No,Laboratory Technician,Research & Development,8,High school or below,Life Sciences,39,Female,8,3,0,7,3755,3,1,3,Married,1,No,3,1,1,8,3,3,,,,,,,,
604,No,Sales Executive,Sales,2,High school or below,Life Sciences,31,Male,6,5,0,5,6582,2,2,4,Single,4,Yes,3,3,0,10,2,4,,,,,,,,
605,No,Manufacturing Director,Research & Development,24,Bachelor's,Medical,42,Male,10,9,5,8,7406,4,3,1,Married,1,Yes,4,4,1,10,5,2,1,,,,,,,
606,No,Sales Executive,Sales,2,Bachelor's,Other,45,Male,8,7,3,7,4805,4,2,2,Married,0,No,3,2,1,9,3,4,,,,,,,,
608,Yes,Human Resources,Human Resources,17,Master's,Life Sciences,26,Female,7,7,1,0,2741,2,1,3,Divorced,0,Yes,3,2,1,8,2,2,,,,,,,,
611,No,Manufacturing Director,Research & Development,19,Bachelor's,Technical Degree,29,Male,3,2,1,2,4262,4,2,4,Divorced,4,No,3,2,2,8,2,4,,,,,,,,
612,No,Research Director,Research & Development,1,Doctorate,Medical,33,Female,6,1,0,5,16184,1,4,3,Divorced,4,No,3,3,1,10,2,3,,,,,,,,
613,No,Manager,Sales,7,Bachelor's,Life Sciences,31,Male,5,4,0,1,11557,3,3,4,Divorced,9,No,4,3,1,10,3,2,1,,,,,,,
614,Yes,Sales Representative,Sales,5,Bachelor's,Marketing,18,Male,0,0,0,0,1878,2,1,2,Single,1,Yes,3,4,0,0,3,3,,,,,,,,
615,No,Sales Executive,Sales,28,Bachelor's,Other,40,Male,1,0,0,1,10932,3,3,1,Divorced,3,No,3,3,1,20,2,3,,,,,,,,
616,No,Healthcare Representative,Research & Development,2,Master's,Other,41,Female,8,7,0,7,6811,1,2,3,Single,2,Yes,3,1,0,10,3,3,,,,,,,,
618,No,Sales Executive,Sales,29,Some university,Medical,26,Male,0,0,0,0,4306,1,2,3,Divorced,5,No,3,1,2,8,5,3,,,,,,,,
620,No,Sales Executive,Sales,1,Bachelor's,Medical,35,Female,5,4,0,3,4859,1,2,3,Single,1,No,3,4,0,5,3,3,,,,,,,,
621,No,Sales Executive,Sales,21,Master's,Life Sciences,34,Male,10,7,5,7,5337,4,2,4,Single,1,No,3,4,0,10,3,3,,,,,,,,
622,Yes,Laboratory Technician,Research & Development,24,Bachelor's,Technical Degree,26,Male,1,0,0,0,2340,3,1,4,Single,1,Yes,3,2,0,1,3,1,,,,,,,,
623,No,Manufacturing Director,Research & Development,1,Bachelor's,Technical Degree,37,Female,6,5,1,2,7491,2,3,4,Single,4,No,3,4,0,12,3,4,,,,,,,,
624,No,Healthcare Representative,Research & Development,18,High school or below,Medical,46,Female,2,2,1,2,10527,1,3,3,Married,5,No,3,4,0,28,3,2,,,,,,,,
625,No,Manager,Sales,2,Doctorate,Life Sciences,41,Female,18,16,11,8,16595,2,4,1,Married,7,No,3,2,1,22,2,3,,,,,,,,
626,No,Sales Executive,Sales,9,Master's,Medical,37,Male,9,5,7,7,8834,1,3,2,Divorced,1,No,3,4,1,9,6,3,,,,,,,,
630,No,Research Scientist,Research & Development,6,Some university,Technical Degree,52,Male,10,9,6,9,5577,4,2,1,Divorced,3,Yes,3,2,2,18,3,3,,,,,,,,
631,Yes,Sales Executive,Sales,11,Master's,Other,32,Male,4,2,1,2,4707,4,2,3,Married,8,No,3,4,0,6,2,3,,,,,,,,
632,No,Sales Representative,Sales,24,Bachelor's,Medical,24,Male,2,2,2,1,2400,4,1,4,Married,0,No,3,3,2,3,3,3,,,,,,,,
634,No,Healthcare Representative,Research & Development,10,Bachelor's,Medical,38,Female,1,0,0,0,9824,3,2,3,Married,3,No,3,3,1,18,4,3,,,,,,,,
635,No,Manufacturing Director,Research & Development,1,Master's,Life Sciences,37,Female,6,5,4,3,6447,2,2,2,Married,6,No,3,2,1,8,2,2,,,,,,,,
638,No,Research Director,Research & Development,18,Master's,Life Sciences,49,Male,31,9,0,9,19502,4,5,3,Divorced,1,Yes,3,3,1,31,5,3,,,,,,,,
639,No,Research Scientist,Research & Development,23,Bachelor's,Medical,24,Male,6,5,1,4,2725,2,1,4,Married,1,Yes,3,2,2,6,3,3,,,,,,,,
641,No,Sales Executive,Sales,28,Some university,Marketing,26,Male,5,3,1,4,6272,1,2,2,Married,1,No,4,4,2,6,5,4,1,,,,,,,
643,No,Laboratory Technician,Research & Development,17,Some university,Other,24,Male,1,0,0,0,2127,4,1,2,Married,1,No,4,4,1,1,2,3,1,,,,,,,
644,No,Manager,Human Resources,3,Bachelor's,Medical,50,Male,32,5,10,7,18200,1,5,2,Married,1,No,3,3,1,32,2,3,,,,,,,,
645,No,Sales Representative,Sales,13,High school or below,Medical,25,Male,7,4,0,6,2096,2,1,3,Married,1,No,3,3,0,7,1,3,,,,,,,,
647,Yes,Laboratory Technician,Research & Development,7,Bachelor's,Life Sciences,24,Female,6,3,1,2,2886,1,1,3,Married,1,Yes,3,4,1,6,4,3,,,,,,,,
648,Yes,Sales Representative,Sales,12,Master's,Life Sciences,30,Male,1,0,0,0,2033,2,1,1,Married,1,No,3,3,1,1,2,4,,,,,,,,
649,No,Research Scientist,Research & Development,1,Some university,Life Sciences,34,Male,6,5,1,3,3622,2,1,4,Married,1,Yes,3,4,1,6,3,3,,,,,,,,
650,Yes,Sales Executive,Sales,13,Master's,Medical,31,Male,3,1,1,2,4233,2,2,1,Divorced,2,No,3,3,0,9,2,1,,,,,,,,
652,No,Laboratory Technician,Research & Development,25,Some university,Other,35,Male,3,2,0,2,3681,1,2,4,Single,4,No,3,4,0,9,3,3,,,,,,,,
653,No,Sales Executive,Sales,6,Master's,Medical,31,Male,7,7,5,7,5460,1,2,4,Divorced,4,No,4,4,2,13,4,4,1,,,,,,,
655,No,Research Scientist,Research & Development,6,Master's,Medical,27,Female,5,3,0,3,2187,1,1,3,Divorced,0,No,3,3,2,6,5,2,,,,,,,,
656,No,Sales Executive,Sales,2,Bachelor's,Marketing,37,Male,3,0,1,0,9602,4,2,3,Married,4,Yes,3,3,1,17,3,2,,,,,,,,
657,No,Research Scientist,Research & Development,1,Bachelor's,Life Sciences,20,Female,1,0,0,0,2836,4,1,2,Single,1,No,3,4,0,1,0,4,,,,,,,,
659,No,Healthcare Representative,Research & Development,2,Master's,Life Sciences,42,Female,10,2,2,2,4089,3,2,4,Married,1,No,3,2,2,10,4,3,,,,,,,,
661,No,Research Director,Research & Development,6,Master's,Other,43,Male,1,0,0,0,16627,2,4,4,Divorced,4,Yes,3,3,1,21,3,2,,,,,,,,
662,No,Research Scientist,Research & Development,1,High school or below,Life Sciences,38,Female,0,0,0,0,2619,3,1,1,Single,3,No,3,4,0,8,3,2,,,,,,,,
663,No,Laboratory Technician,Research & Development,9,Doctorate,Medical,43,Male,8,7,4,7,5679,4,2,3,Divorced,3,Yes,3,2,1,10,3,3,,,,,,,,
664,No,Manager,Research & Development,1,Master's,Life Sciences,48,Female,3,2,0,2,15402,4,4,1,Married,7,No,3,1,1,21,3,1,,,,,,,,
665,No,Human Resources,Human Resources,1,Master's,Life Sciences,44,Female,2,2,0,2,5985,1,2,3,Single,4,No,3,2,0,10,1,4,,,,,,,,
666,No,Sales Representative,Sales,14,Bachelor's,Technical Degree,34,Female,8,2,0,6,2579,3,1,3,Divorced,1,Yes,3,4,2,8,3,3,,,,,,,,
667,Yes,Sales Representative,Sales,2,High school or below,Marketing,27,Male,4,3,0,2,3041,3,1,1,Divorced,0,No,3,2,1,5,3,3,,,,,,,,
669,No,Sales Representative,Sales,22,High school or below,Technical Degree,21,Male,3,2,1,2,3447,3,1,3,Single,1,No,3,3,0,3,2,3,,,,,,,,
671,No,Manager,Research & Development,3,Master's,Other,44,Male,2,2,0,1,19513,4,5,4,Married,4,Yes,3,1,1,26,2,4,,,,,,,,
675,No,Research Scientist,Research & Development,6,High school or below,Medical,22,Male,2,2,2,2,2773,1,1,3,Married,0,No,4,4,0,3,3,3,1,,,,,,,
677,No,Sales Executive,Sales,8,Master's,Marketing,33,Male,5,0,1,2,7104,3,2,3,Divorced,0,No,3,4,0,6,3,3,,,,,,,,
679,No,Research Scientist,Research & Development,9,Master's,Life Sciences,32,Female,6,4,0,5,6322,1,2,4,Married,1,Yes,3,4,1,6,2,2,,,,,,,,
680,No,Research Scientist,Research & Development,3,Bachelor's,Medical,30,Female,1,0,0,0,2083,3,1,3,Divorced,1,No,4,3,1,1,2,3,1,,,,,,,
682,No,Sales Executive,Sales,1,High school or below,Medical,53,Female,14,7,8,10,8381,4,2,1,Single,7,No,4,4,0,18,2,4,1,,,,,,,
683,No,Research Scientist,Research & Development,1,Doctorate,Life Sciences,34,Male,10,9,8,8,2691,2,1,4,Married,1,No,3,4,1,10,4,2,,,,,,,,
684,Yes,Sales Executive,Sales,26,Master's,Life Sciences,45,Female,1,1,0,0,4286,1,2,1,Married,2,No,3,4,2,5,4,3,,,,,,,,
686,No,Laboratory Technician,Research & Development,6,Bachelor's,Life Sciences,26,Female,3,2,0,2,2659,3,1,4,Married,1,Yes,3,3,1,3,2,3,,,,,,,,
689,No,Manufacturing Director,Research & Development,3,Bachelor's,Other,37,Male,10,7,7,8,9434,3,3,3,Married,1,No,3,3,1,10,2,3,,,,,,,,
690,No,Sales Executive,Sales,3,Some university,Medical,29,Female,6,0,1,2,5561,2,2,3,Married,1,No,3,1,1,6,5,2,,,,,,,,
691,No,Research Scientist,Research & Development,6,Master's,Life Sciences,35,Male,17,11,11,8,6646,2,2,4,Single,1,No,3,2,0,17,3,3,,,,,,,,
692,No,Healthcare Representative,Research & Development,6,Bachelor's,Life Sciences,33,Male,13,11,4,7,7725,3,2,4,Divorced,3,No,4,3,1,15,2,1,1,,,,,,,
698,No,Human Resources,Human Resources,19,Master's,Medical,54,Male,9,7,7,1,10725,3,3,2,Married,2,No,3,3,1,16,1,4,,,,,,,,
699,No,Manufacturing Director,Research & Development,9,Some university,Medical,36,Male,3,2,0,2,8847,2,2,2,Divorced,2,Yes,3,3,1,13,2,3,,,,,,,,
700,No,Research Scientist,Research & Development,3,Master's,Medical,27,Male,4,2,1,1,2045,1,1,4,Single,0,No,3,4,0,5,0,3,,,,,,,,
701,Yes,Research Scientist,Research & Development,10,High school or below,Medical,20,Male,1,0,1,1,1009,4,1,3,Single,1,Yes,3,4,0,1,5,3,,,,,,,,
702,Yes,Research Scientist,Research & Development,3,Bachelor's,Life Sciences,33,Male,10,8,9,7,3348,1,1,1,Single,1,Yes,3,1,0,10,3,3,,,,,,,,
704,No,Laboratory Technician,Research & Development,3,Bachelor's,Life Sciences,35,Male,1,0,0,0,1281,3,1,3,Married,1,No,3,3,2,1,3,3,,,,,,,,
705,No,Research Scientist,Research & Development,4,Bachelor's,Medical,23,Male,3,2,0,2,2819,1,1,1,Married,2,No,3,1,1,5,3,4,,,,,,,,
707,No,Sales Executive,Sales,8,Bachelor's,Life Sciences,25,Male,3,2,1,2,4851,4,2,2,Married,0,No,4,3,1,4,4,3,1,,,,,,,
709,No,Sales Executive,Sales,7,Master's,Marketing,38,Female,7,7,0,5,4028,4,2,4,Single,0,No,4,1,0,8,2,3,1,,,,,,,
710,No,Research Scientist,Research & Development,1,Master's,Life Sciences,29,Male,10,7,2,8,2720,2,1,4,Divorced,1,No,3,4,1,10,5,3,,,,,,,,
712,No,Sales Executive,Sales,2,High school or below,Marketing,48,Male,2,2,2,2,8120,2,2,2,Married,3,No,3,4,0,12,3,3,,,,,,,,
714,No,Sales Executive,Sales,3,High school or below,Medical,27,Female,6,5,0,4,4647,4,2,4,Divorced,1,Yes,4,2,2,6,3,3,1,,,,,,,
715,No,Research Scientist,Research & Development,10,Some university,Life Sciences,37,Male,1,0,0,0,4680,4,1,4,Single,3,No,3,1,0,4,2,3,,,,,,,,
716,No,Laboratory Technician,Research & Development,28,High school or below,Medical,50,Male,20,8,3,8,3221,4,1,3,Married,1,Yes,3,3,3,20,3,3,,,,,,,,
717,No,Healthcare Representative,Research & Development,9,Bachelor's,Medical,34,Female,8,7,7,7,8621,4,3,2,Single,1,No,3,2,0,9,3,4,,,,,,,,
720,Yes,Sales Executive,Sales,3,Some university,Life Sciences,24,Female,2,2,2,0,4577,1,2,3,Single,9,No,3,1,0,4,3,3,,,,,,,,
721,No,Healthcare Representative,Research & Development,2,Master's,Technical Degree,39,Female,20,7,11,10,4553,4,2,3,Single,1,No,3,1,0,20,4,3,,,,,,,,
722,No,Sales Executive,Sales,10,Bachelor's,Marketing,32,Male,10,7,0,8,5396,4,2,4,Single,1,No,3,4,0,10,2,2,,,,,,,,
723,Yes,Sales Executive,Sales,8,Some university,Technical Degree,50,Male,4,3,1,3,6796,2,2,3,Married,3,Yes,3,1,1,18,4,3,,,,,,,,
724,No,Healthcare Representative,Research & Development,1,Master's,Life Sciences,38,Female,9,7,1,8,7625,2,2,4,Single,0,No,3,3,0,10,4,2,,,,,,,,
725,No,Manufacturing Director,Research & Development,1,Some university,Life Sciences,27,Female,9,7,0,7,7412,3,3,1,Married,1,No,3,4,0,9,3,3,,,,,,,,
727,No,Research Director,Research & Development,3,Some university,Life Sciences,32,Female,7,7,7,7,11159,3,3,4,Single,3,No,3,4,0,10,6,3,,,,,,,,
728,No,Sales Executive,Sales,14,Master's,Marketing,47,Male,7,7,1,7,4960,4,2,1,Single,2,No,3,4,0,20,2,3,,,,,,,,
